Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment
Nurse Administrator,20%,893,3569,0.2502101428971701,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Nurse Coordinator,20%,892,3415,0.2612005856515373,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Nurse Manager,20%,900,3448,0.2610208816705336,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Nursing Supervisor,20%,815,2976,0.2738575268817204,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Patient Liaison,20%,800,3265,0.2450229709035222,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Pharmacy Supervisor,20%,782,2927,0.2671677485480013,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Rehab Aide,20%,626,2893,0.2163843760801935,Sales & Marketing,,,10-12 years,
Rehab Director,20%,844,3350,0.2519402985074627,Hospitality,,,10-12 years,
City Manager,20%,844,3512,0.2403189066059225,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
City Planner,20%,845,3511,0.240672173170037,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Forensic Social Worker,20%,647,2667,0.2425946756655418,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Park Manager,20%,734,3128,0.2346547314578005,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Psychiatric Social Worker,20%,751,3159,0.2377334599556821,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Public Health Advisor,20%,902,3456,0.2609953703703703,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Social Worker,20%,886,3413,0.2595956636390272,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Procurement Manager,20%,1089,4060,0.2682266009852216,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Purchasing Manager,20%,1184,4682,0.2528833831695856,Sales & Marketing,,,10-12 years,
Supply Chain Manager,20%,1199,4710,0.2545647558386412,Hospitality,,,10-12 years,
Exercise Physiologist,20%,645,2517,0.2562574493444577,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Fitness Instructor,20%,656,2559,0.2563501367721766,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Group Exercise Instructor,20%,653,2528,0.2583069620253164,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Group Fitness Instructor,20%,649,2520,0.2575396825396825,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Gymnastics Instructor,20%,601,2290,0.2624454148471615,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Head Coach,20%,663,2742,0.2417943107221006,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Pilates Instructor,20%,329,1139,0.2888498683055311,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Strength And Conditioning Coach,20%,730,2920,0.25,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Tennis Instructor,20%,747,3085,0.2421393841166936,Sales & Marketing,,,10-12 years,
Training Instructor,20%,1122,4338,0.2586445366528354,Hospitality,,,10-12 years,
Board Operator,20%,786,3443,0.2282892826023816,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Curriculum Writer,20%,1119,4992,0.2241586538461538,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Digital Archivist,20%,1128,4433,0.2544552221971576,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Freelance Copywriter,20%,1190,4933,0.2412325157105209,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Freelance Writer,20%,1186,4899,0.2420902224943866,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Managing Editor,20%,1170,5035,0.2323733862959285,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Script Writer,20%,1299,5364,0.2421700223713646,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Senior Technical Writer,20%,1358,5371,0.2528393222863526,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Sports Writer,20%,1247,4990,0.2498997995991984,Sales & Marketing,,,10-12 years,
Telecommunications Manager,20%,1175,4643,0.2530691363342666,Hospitality,,,10-12 years,
Writer,20%,1314,5319,0.2470389170896785,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Optical Engineer,20%,630,2780,0.2266187050359712,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Petroleum Engineer,20%,598,2679,0.223217618514371,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Plant Engineer,20%,626,2714,0.2306558585114222,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Plastics Engineer,20%,628,2773,0.2264695275874504,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Port Engineer,20%,538,2554,0.2106499608457321,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Product Safety Engineer,20%,650,2800,0.2321428571428571,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Radar Technician,20%,611,2771,0.220498015156983,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Railroad Engineer,20%,543,2285,0.2376367614879649,Sales & Marketing,,,10-12 years,
Satellite Technician,20%,646,2796,0.2310443490701001,Hospitality,,,10-12 years,
Water Resource Engineer,20%,695,2843,0.244460077383046,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Media Assistant,20%,1221,5112,0.2388497652582159,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Office Administrative Assistant,20%,1181,4661,0.2533791031967389,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Operations Assistant,20%,1234,4776,0.2583752093802345,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Program Administrator,20%,1339,5294,0.252927842840952,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Program Associate,20%,1329,5313,0.2501411631846414,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Residence Manager,20%,895,3577,0.25020967291026,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Support Manager,20%,1186,4632,0.2560449050086356,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Team Leader,20%,1185,4540,0.2610132158590308,Sales & Marketing,,,10-12 years,
Airline Pilot,20%,314,1253,0.2505985634477254,Hospitality,,,10-12 years,
Boat Captain,20%,303,1157,0.2618841832324978,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Commercial Diver,20%,308,1236,0.2491909385113268,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Dispatcher,20%,873,3839,0.2274029695233133,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
First Officer,20%,281,1113,0.252470799640611,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Flight Dispatcher,20%,472,1903,0.2480294272201786,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Freight Broker,20%,740,2997,0.2469135802469135,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Helicopter Pilot,20%,262,1054,0.2485768500948766,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Petroleum Inspector,20%,561,2455,0.2285132382892057,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Pilot,20%,258,1487,0.1735036987222595,Sales & Marketing,,,10-12 years,
Private Pilot,20%,227,1299,0.1747498075442648,Hospitality,,,10-12 years,
Transportation Driver,20%,609,2466,0.2469586374695863,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Transportation Specialist,20%,840,3470,0.2420749279538905,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Transporter,20%,613,2475,0.2476767676767677,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Baker,20%,316,1344,0.2351190476190476,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Bar Server,20%,425,1725,0.2463768115942029,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Beverage Server,20%,440,1748,0.2517162471395881,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Butler,20%,370,1457,0.2539464653397392,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Campground Manager,20%,701,3099,0.2262020006453694,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Catering Assistant,20%,469,2051,0.2286689419795221,Sales & Marketing,,,10-12 years,
Chef,20%,362,1488,0.2432795698924731,Hospitality,,,10-12 years,
Chef Assistant,20%,356,1506,0.2363877822045152,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Cocktail Waitress,20%,452,1771,0.2552230378317335,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Dietary Cook,20%,348,1441,0.2414989590562109,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Enologist,20%,407,1554,0.2619047619047619,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Fine Dining Server,20%,550,2139,0.2571294997662459,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Food Safety Specialist,20%,786,3041,0.2584676093390332,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Food Server,20%,552,2033,0.2715199212985735,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Food Stylist,20%,589,2348,0.2508517887563884,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Innkeeper,20%,781,3235,0.2414219474497681,Sales & Marketing,,,10-12 years,
Nutrition Assistant,20%,613,2451,0.2501019991840065,Hospitality,,,10-12 years,
Occupational Therapist,20%,557,2207,0.2523787947439964,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Optometrist,20%,457,1866,0.2449088960342979,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Palliative Care Nurse Practitioner,20%,617,2411,0.2559104106180008,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Patient Care Assistant,20%,672,2835,0.237037037037037,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Patient Care Specialist,20%,771,3213,0.2399626517273576,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Pediatric Occupational Therapist,20%,541,2167,0.2496538994000923,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Pediatric Physical Therapist,20%,539,2165,0.248960739030023,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Physiologist,20%,517,2470,0.2093117408906882,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Psychological Assistant,20%,696,2863,0.2431016416346489,Sales & Marketing,,,10-12 years,
Radiologist,20%,554,2214,0.2502258355916892,Hospitality,,,10-12 years,
Rn Supervisor,20%,669,2703,0.2475027746947835,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Auto Damage Appraiser,19%,671,2692,0.2492570579494799,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
